time,center_ci,center_cs,center_cv,center_xi,center_xv
1.83e-06,1.8281368495382e-08,1,1.8284715713437e-08,0.050032201342124,0.050041361963098
1.84e-06,1.8381080091887e-08,1,1.8384463972125e-08,0.05030509068702,0.050314351644557
1.85e-06,1.848078874271e-08,1,1.8484209484549e-08,0.050577971970212,0.050587333810079
1.86e-06,1.8580494433037e-08,1,1.858395223589e-08,0.050850845151159,0.050860308419107
1.87e-06,1.8680197148056e-08,1,1.868369221133e-08,0.051123710189323,0.051133275431086
1.88e-06,1.8779896872957e-08,1,1.8783429396053e-08,0.051396567044173,0.051406234805468
1.89e-06,1.8879593592931e-08,1,1.8883163775244e-08,0.051669415675181,0.05167918650171
1.9e-06,1.8979287293173e-08,1,1.8982895334091e-08,0.051942256041823,0.051952130479272
1.91e-06,1.9078977958875e-08,1,1.9082624057783e-08,0.052215088103582,0.052225066697619
1.92e-06,1.9178665575237e-08,1,1.918234993151e-08,0.052487911819945,0.052497995116222
1.93e-06,1.9278350127456e-08,1,1.9282072940465e-08,0.052760727150404,0.052770915694555
1.94e-06,1.9378031600732e-08,1,1.9381793069842e-08,0.053033534054455,0.053043828392098
1.95e-06,1.9477709980268e-08,1,1.9481510304838e-08,0.053306332491599,0.053316733168337
1.96e-06,1.9577385251267e-08,1,1.9581224630649e-08,0.053579122421343,0.05358962998276
1.97e-06,1.9677057398936e-08,1,1.9680936032476e-08,0.053851903803199,0.053862518794861
1.98e-06,1.9776726408483e-08,1,1.9780644495519e-08,0.054124676596682,0.054135399564141
1.99e-06,1.9876392265115e-08,1,1.9880350004982e-08,0.054397440761315,0.054408272250103
2e-06,1.9976054954046e-08,1,1.998005254607e-08,0.054670196256622,0.054681136812255
2.01e-06,2.0075714460487e-08,1,2.007975210399e-08,0.054942943042137,0.054953993210113
2.02e-06,2.0175370769654e-08,1,2.017944866395e-08,0.055215681077395,0.055226841403195
2.03e-06,2.0275023866763e-08,1,2.0279142211161e-08,0.055488410321938,0.055499681351025
2.04e-06,2.0374673737034e-08,1,2.0378832730834e-08,0.055761130735312,0.055772513013133
2.05e-06,2.0474320365687e-08,1,2.0478520208184e-08,0.05603384227707,0.056045336349052
2.06e-06,2.0573963737944e-08,1,2.0578204628427e-08,0.056306544906769,0.056318151318322
