"K0","K0_dist","source_i","source_v","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.037e-15,1.4269e-15,1.4255e-15,1.4968e-15,1,770,770,0,0
9.037e-15,1.4545e-15,1.4531e-15,1.5257e-15,1,772.5,772.5,0,0
9.037e-15,1.4824e-15,1.481e-15,1.5551e-15,1,775,775,0,0
9.037e-15,1.5108e-15,1.5094e-15,1.5848e-15,1,777.5,777.5,0,0
9.037e-15,1.5395e-15,1.5381e-15,1.615e-15,1,780,780,0,0
9.037e-15,1.5687e-15,1.5672e-15,1.6456e-15,1,782.5,782.5,0,0
9.037e-15,1.5982e-15,1.5967e-15,1.6766e-15,1,785,785,0,0
9.037e-15,1.6281e-15,1.6266e-15,1.708e-15,1,787.5,787.5,0,0
9.037e-15,1.6584e-15,1.6569e-15,1.7398e-15,1,790,790,0,0
9.037e-15,1.6892e-15,1.6876e-15,1.772e-15,1,792.5,792.5,0,0
9.037e-15,1.7203e-15,1.7187e-15,1.8046e-15,1,795,795,0,0
9.037e-15,1.7518e-15,1.7502e-15,1.8377e-15,1,797.5,797.5,0,0
9.037e-15,1.7837e-15,1.7821e-15,1.8712e-15,1,800,800,0,0
