x,y,z,id,mat_therm_cond,cv,ci,jvx,jix,T,jx,jy,dTdx,dTdy,gr0
593.4,433,0,593.4,1,6.3470039529613e-05,4.7342225369627e-05,4.3431131752267e-16,1.6537699267962e-09,295.42076846631,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-5.2752779820725e-50
593.6,433,0,593.6,1,6.3470039455445e-05,4.7341894356324e-05,4.3431131752267e-16,1.6537699267962e-09,295.51959803168,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-4.9316084727267e-50
593.8,433,0,593.8,1,6.3470039381277e-05,4.7341563343021e-05,4.3431131752267e-16,1.6537699267962e-09,295.61842759704,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-4.5879389633809e-50
594,433,0,594,1,6.3470039307109e-05,4.7341232329717e-05,4.3431131752267e-16,1.6537699267962e-09,295.7172571624,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-4.2442694540353e-50
594.2,433,0,594.2,1,6.3470039232942e-05,4.7340901316414e-05,4.3431131752267e-16,1.6537699267962e-09,295.81608672776,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-3.9005999446895e-50
594.4,433,0,594.4,1,6.3470039158774e-05,4.734057030311e-05,4.3431131752267e-16,1.6537699267962e-09,295.91491629312,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-3.5569304353439e-50
594.6,433,0,594.6,1,6.3470039084606e-05,4.7340239289807e-05,4.3431131752267e-16,1.6537699267962e-09,296.01374585848,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-3.2132609259981e-50
594.8,433,0,594.8,1,6.3470039010438e-05,4.7339908276504e-05,4.3431131752267e-16,1.6537699267962e-09,296.11257542385,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-2.8695914166523e-50
595,433,0,595,1,6.347003893627e-05,4.73395772632e-05,4.3431131752267e-16,1.6537699267962e-09,296.21140498921,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-2.5259219073067e-50
595.2,433,0,595.2,1,6.3470038862102e-05,4.7339246249897e-05,4.3431131752267e-16,1.6537699267962e-09,296.31023455457,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-2.1822523979609e-50
595.4,433,0,595.4,1,6.3470038787934e-05,4.7338915236594e-05,4.3431131752267e-16,1.6537699267962e-09,296.40906411993,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-1.8385828886153e-50
595.6,433,0,595.6,1,6.3470038713766e-05,4.733858422329e-05,4.3431131752267e-16,1.6537699267962e-09,296.50789368529,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-1.4949133792695e-50
595.8,433,0,595.8,1,6.3470038639598e-05,4.7338253209987e-05,4.3431131752267e-16,1.6537699267962e-09,296.60672325065,-0.49414593017881,-4.5663079386138e-05,0.49414593017881,4.5663079386138e-05,-1.1512438699237e-50
